src_content,dst_content,src_content_len
"2009년 국가 중요 민속 문화재 제263호로 지정되었으며 ,9대 강정숙 종부는 종가의 온기를 이어 온 노력으로 대한민국 문화 유산상을 수상하기도 하였습니다 .광주 학생독립운동의 도화선이 된' 나주 댕기 머리 사건 '의 주인공인 박준채 , 박기옥 선생님의 집안으로 , 호남 지방의 의병 및 독립운동에 참여했으며 , 나주 지역의 각종 사회운동과 근대교육을 이끌었습니다 .","The Nampa Historic House was designated as No. 263 of the National Important Folk Cultural Property in 2009. Kang Jeong-suk, the 9th head of the family, has been awareded the National Cultural Heritage Award for the continuation of the family's warm hearts. The family is descended from Park Jun-chae and Park Ki-ok, the main characters behind the ""Naju Ponytail Harassment Incident,"" which in turn sparked the Gwangju Student Independence Movement. The family then participated in the righteous army and independence movements in the Honam region of Korea, and led various social movements and modern education movements in Naju city.",206
"본 저작물은 국립중앙박물관에서 작성하여 공공누리제1유형으로 개방한 ' 금 가는 고리 귀걸이 ' , ' 조선회화 단원 김홍도필 풍속화첩 씨름도 ’를 이용하였으며 해당 저작물은 국립중앙박물관 누리집 ( http://www.museum.go.kr ) 에서 무료로 다운받으실 수 있습니다 . 씨름 사진의 저작권은 ⓒ 한국학중앙연구원 , 김형수에게 있습니다 .","This work contains usage of ""Gold Earrings"" and ""'Korean Traditional Wrestling' from the Album of Genre Paintings by Kim Hong-do"" which have been written and classified as KOGL(Korea Open Government License) Type 1 by the National Museum of Korea. These works can be downloaded for free in the official website of the National Museum of Korea ( http://www.museum.go.kr ). The copyright to the image of ssireum is owned by Kim Hyung-su of the Academy of Korean Studies.",196
"수제 초코파이와 화이트 초코파이 , 녹차 , 치즈 , 크림치즈 , 딸기 , 모카를 골고루 만나 보실 수 있는 미니 초코파이 세트입니다 . ( 수제 초코파이 3개 / 화이트 초코파이 2개 / 녹차 초코파이 1개 / 치즈 초코파이 1개 / 크림 치즈 초코파이 2개 / 딸기향 초코파이 1개 / 모카 초코파이 2개 / 총 12개 ( 각 45g ) )","Balanced Mini Choco Pie Set with Handmade Choco Pie, White Choco Pie, Green Tea, Cheese, Cream Cheese, Strawberry, Mocha

( Handmade Choco Pie 3p / White Choco Pie 2p / Green Tea Choco Pie 1p / Cheese Choco Pie 1p / Cream Cheese Choco Pie 2p / Strawberry flavored Choco pie 1p / Mocha Choco Pie 2p / Total 12p ( 45g each ) )",192
"인기품목 16가지로 구성된 중요한 분께 선물하기 좋은 무궁화 세트 입니다 . ( 땅콩 와다닥 , 아몬드 와다닥 , 피칸이 와다닥 , 코코넛 와다닥 , 깨기둥 , 들깨기둥 , 아몬드 튀일 , 해바라기씨 튀일 , 코코넛 튀일 , 검은깨 튀일 , 헤이즐넛 튀일 , 검은깨 강정 , 참깨강정 , 미니아몬드 , 피스타치오 둥둥이 , 땅콩달콩 )","A gift set composed of 16 popular crispy wafers, recommended as a present for a precious person. ( Wadadak Peanut , Almond Wadadak , Wadadak Pecan , Wadadak Coconut , Wadadak Sesame Seeds , Wadadak Perilla Seeds , Almond Tuile , Sunflower Seed Tuile , Coconut Tuile , Black Sesame Tuile , Hazelnut Tuile , Black Sesame Seeds , Sesame Seeds , Mini Almond , Wadadak Pistachio , Sweet Peanut )",187
"2009년 3월 14일 약수 본점으로 시작된 호박식당은 24시간 불 켜진 식당으로 , [ 가성비 좋은 식당 ] 이라는 철학을 가지고 지금의 사랑받는 호박식당으로 자리매김하기 위해 달려왔습니다 . 직접 공수해온 품질 좋은 고기로 , 유통마진을 최소화하여 고객님들께 살아있는 육질의 소고기를 가장 합리적인 가격으로 선보입니다 .","The first branch of HOBAK Restaurant opened in Yaksu on March 14, 2009, its lights on 24/7. Since then, we have strive to take place as the beloved HOBAK Restaurant with our vision to become a ""cost-efficient restaurant."" We offer diners with fine beef with a fresh texture at a competitive pricing by getting our own high-quality meat and minimizing our supply margin.",181
INEAT은 파트너쉽 브랜드 STANDING COFFEE 와 함께 오랜 시간 R & D를 거쳐 탄생한 브랜드입니다 .과테말라 베이스의 블랜딩으로 이루어져 있으며 이탈리아식 에스프레소부터 핸드드립까지 누구나 만족할만한 원두로 준비가 되어있습니다 . 디카페인 원두는 물론 수준 높은 다양한 시그니처 메뉴들도 함께 전개합니다 .,"INEAT is a brand created through an extensive research and development together with its brand partner, STANDING COFFEE. Its blend is based on Guatamalan coffee beans, and all beans are ready--from Italian-styled espresso to hand drip coffee--for everyone's satisfaction. On top of decaf beans, a wide range of signature menus are also provided.",180
"돼지 고기 도 품종 으로 골라 먹는 시대 입니다 .랜드 레이스 , 요크셔 , 버크셔 세가지 돼지 의 장점 만 골라삼원 교배 한 LYB 명품 제주 돼지 입니다 .감칠맛 과 , 지방 의 쫄깃한 식감 이 뛰어난 버크셔 의 특징 을 살려 흑돼지 보다 더 맛있는 제주 돼지 입니다 .오직 숙성 도 에서만 맛보 실수 있습니다 .","It is the age where pork is selected upon its breed. LYB premium pork was created by a three-way crossbred of Landlace, Yorkshire, and Berkshire pigs. Especially, the Berkshire breed's specialty, unami and chewy texture of the fat, is preserved in this breed, which makes it better than Jeju Black pork. Only available at Suk Seong Do.",177
‘ 돗 ’ - 제주의 방언으로 돼지를 뜻해요 .제주도에서는 가장 맛있는 돼지 생갈비를 돗갈비라고 부른 답니다 .육지에서는 귀한 돼지생갈비지만 제주는 도축과 가공의 용이함 덕분에 신선하고 질 좋은 돼지의 수급이 좋아요 . 친환경 농장의 가장 품질 좋은 돼지만을 빠르고 신선한 상태로 손님상에 올립니다 .,"Dot ' - The term in Jeju dialect means pork. In Jeju, the tastiest fresh pork ribs are called 'dotgalbi.' Although fresh pork ribs are rare in the mainland, Jeju cuisine is able to utilize fresh and high quality meat due to the convenience in the butchering and transportation processes. Only the highest quality pork from organic farms are allowed on the guest's tables in a quick manner and fresh state.",168
"70년 동안 3대째 전통의 맛을 계승하고 있는 PNB의 수제 전병입니다 . 우리나라 최초의 전병으로 1951년부터 지금까지 변함없는 레시피와 방법으로 계승해오고 있습니다 . 한 장 , 한 장 구워 만들어 두께가 도톰하고 식감이 부드러우며 고소함의 밀도가 남다릅니다 .","Homemade Senbei with Traditional taste by Three Generations during 70 years

As the first Senbei made domestically, we have continued on with Consistent recipes and methods since 1951.

Baked each one by one, Thick volume and Mild texture, distinct density of Fragrance",149
"저희 돈카츠는 부드러움을 최대한 살릴 수 있는 숙성과정을 거칩니다. 두꺼운 숙성육을 사용하기 때문에 최대한 육즙을 가두기 위해 ""미디엄 웰던 (medium Welldone)으로 익혀냅니다. 일본식 돈카츠에 익숙치 않으신 분들은, 주문시에 익힘정도를 꼭 얘기해주세요.","Our pork cutlets undergo an aging process to best enhance the tenderness. Because we use a thick slick of aged meat, we cook our cutlet to medium well-done in order to retain more juice. If you are not used to the Japanese-style pork cutlet, please inform your server on your preferred doneness level.",148
