xmin,ymin,xmax,ymax
137,0,877,247
927,47,1514,295
445,299,869,492
893,326,1220,508
441,490,1221,739
442,912,489,944
563,909,627,942
492,910,560,942
631,907,735,943
737,906,779,938
781,902,824,937
827,902,869,938
873,902,950,938
953,900,1028,935
1031,900,1069,931
1076,896,1128,930
519,952,626,986
733,951,775,981
780,946,838,978
844,948,883,977
886,944,980,978
988,941,1041,974
1048,930,1209,973
442,997,536,1032
540,993,672,1029
677,991,760,1026
763,989,822,1023
824,989,886,1019
443,1042,488,1076
492,1037,598,1077
600,1035,724,1071
729,1033,791,1066
795,1031,854,1065
857,1028,918,1061
921,1017,1108,1057
1111,1016,1165,1048
1167,1012,1204,1050
444,1082,605,1121
614,1077,722,1117
724,1074,823,1111
828,1070,870,1104
872,1065,968,1102
970,1056,1123,1099
443,1144,489,1183
497,1140,590,1181
1129,895,1211,929
442,955,517,990
630,951,727,982
1048,940,1086,973
891,982,1061,1017
921,1025,981,1057
1006,1017,1045,1055
983,1023,1004,1055
490,1084,538,1117
539,1082,612,1117
1047,1056,1129,1094
968,982,1061,1016
596,1137,677,1177
452,825,565,864
937,823,1018,854
1088,821,1174,853
787,824,878,860
623,825,706,857
453,801,555,832
624,799,763,831
782,798,842,828
1086,798,1135,826
942,797,1023,826
451,767,577,805
621,768,745,804
781,766,903,806
937,768,1032,805
1084,767,1192,802
