xmin,ymin,xmax,ymax
214,171,315,270
317,171,408,274
409,171,500,265
504,170,611,269
217,274,243,304
242,278,272,304
272,277,298,305
301,277,327,304
329,272,350,306
351,273,376,305
376,272,401,304
416,272,445,304
446,274,475,303
475,274,488,302
491,273,513,305
514,274,544,302
544,278,569,303
570,275,603,303
384,307,403,329
404,308,421,330
421,306,438,330
441,306,453,329
454,304,472,327
473,302,491,330
491,301,506,331
507,301,514,334
514,305,533,327
534,308,552,327
553,309,571,330
572,306,589,328
