filename,rule_based,learning_based
0000,0.5852,0.7309
0001,0.7315,0.6696
0002,0.9405,0.7843
0003,0.2516,0.5319
0004,0.7107,0.5213
0005,0.7152,0.5417
0006,0.6349,0.4501
0007,0.8276,0.6114
0008,0.7385,0.7487
0009,0.853,0.5915
0010,0.8046,0.6565
0011,0.7984,0.6397
0012,0.8343,0.5562
0013,0.7264,0.7307
0014,0.3838,0.5417
0015,0.6547,0.5107
0016,0.8848,0.6647
0017,0.7275,0.4984
0018,0.4202,0.4308
0019,0.1877,0.159
0020,0.8373,0.6699
0021,0.7538,0.4763
0022,0.8779,0.7212
0023,0.8049,0.7042
0024,0.7225,0.7111
0025,0.7021,0.3482
0026,0.7634,0.5142
0027,0.6103,0.6661
0028,0.501,0.586
0029,0.5336,0.6064
0030,0.8638,0.7413
0031,0.8092,0.6383
0032,0.8907,0.6993
0033,0.8199,0.7858
0034,0.0946,0.4341
0035,0.7212,0.6094
0036,0.1468,0.5929
0037,0.73,0.5615
0038,0.6174,0.773
0039,0.7371,0.6835
0040,0.5032,0.4282
0041,0.7922,0.2819
0042,0.5413,0.5892
0043,0.8757,0.7066
0044,0.4126,0.3966
0045,0.7607,0.4595
0046,0.1224,0.365
0047,0.8651,0.7347
0048,0.833,0.6444
0049,0.5032,0.4542
0050,0.4566,0.4501
0051,0.2594,0.6262
0052,0.3836,0.4519
0053,0.0838,0.6126
0054,0.377,0.3408
0055,0.4714,0.5385
0056,0.1842,0.6047
0057,0.6455,0.5492
0058,0.0922,0.3239
0059,0.9361,0.6369
0060,0.7421,0.5961
0061,0.7396,0.5231
0062,0.8607,0.6531
0063,0.1529,0.6542
0064,0.4524,0.3943
0065,0.8457,0.7596
0066,0.6582,0.6346
0067,0.4368,0.5167
0068,0.3488,0.3826
0069,0.7959,0.7976
0070,0.3771,0.4262
0071,0.8336,0.7159
0072,0.6948,0.764
0073,0.7049,0.7041
0074,0.6546,0.6158
0075,0.5864,0.4609
0076,0.2665,0.5155
0077,0.4414,0.3629
0078,0.231,0.5691
0079,0.5703,0.57
0080,0.4919,0.3286
0082,0.1393,0.12
0083,0.8435,0.6552
0084,0.8921,0.4601
0085,0.6111,0.6075
0086,0.839,0.5168
0087,0.3628,0.594
0088,0.6758,0.6776
0089,0.4528,0.6691
0090,0.5634,0.5335
0091,0.4021,0.5035
0092,0.3852,0.5632
0093,0.615,0.3876
0094,0.8726,0.7004
0095,0.8474,0.6306
0096,0.8779,0.6657
0097,0.8537,0.7617
0098,0.5022,0.5952
0099,0.6296,0.6048
0100,0.8684,0.4837
0101,0.63,0.6842
0102,0.7772,0.7824
0103,0.6837,0.7184
0104,0.9592,0.6495
0105,0.7424,0.6093
0106,0.6248,0.7721
0107,0.3575,0.4643
0108,0.8126,0.4664
0109,0.4992,0.6725
0110,0.9071,0.7659
0111,0.8513,0.6764
0112,0.8236,0.6503
0113,0.8424,0.6085
0114,0.8792,0.692
0115,0.3775,0.7184
0116,0.9005,0.7207
0117,0.8852,0.7658
0118,0.9139,0.5358
0119,0.4808,0.4769
0120,0.74,0.3276
0121,0.7806,0.4456
0122,0.8645,0.6478
0123,0.512,0.6375
0124,0.8756,0.5051
0125,0.4982,0.6286
0126,0.8383,0.5234
0127,0.8239,0.6456
0128,0.5201,0.614
0129,0.5068,0.3572
0130,0.8795,0.6107
0131,0.7344,0.5365
0132,0.4734,0.4556
0133,0.4445,0.4173
0134,0.8225,0.5849
0135,0.7746,0.6825
0136,0.4348,0.4685
0137,0.7343,0.6199
0138,0.7146,0.5946
0139,0.721,0.5933
0140,0.6785,0.5777
0141,0.7257,0.6391
0142,0.7713,0.6454
0143,0.6964,0.503
0144,0.5896,0.5973
0145,0.7228,0.537
0146,0.7041,0.6107
0147,0.5102,0.5622
0148,0.7496,0.548
0149,0.1735,0.6884
0150,0.8181,0.519
0151,0.7165,0.5277
0152,0.8963,0.642
0153,0.8863,0.6158
0154,0.7976,0.7974
0155,0.7396,0.7331
0156,0.1776,0.3821
0157,0.5566,0.6722
0158,0.522,0.6095
0159,0.5573,0.5556
0160,0.5406,0.5767
0161,0.1102,0.5076
0162,0.531,0.4959
0163,0.8823,0.5982
0164,0.6856,0.5046
0165,0.7221,0.7579
0166,0.7148,0.7501
0167,0.6377,0.6625
0168,0.6737,0.7019
0169,0.7753,0.7888
0170,0.6704,0.719
0171,0.751,0.5255
0172,0.5862,0.6316
0173,0.7386,0.5663
0174,0.6896,0.6138
0175,0.4309,0.467
0176,0.9148,0.7493
0177,0.7624,0.5095
0178,0.4349,0.3459
0179,0.8949,0.7177
0180,0.6015,0.6472
0181,0.783,0.7342
0182,0.5995,0.7523
0183,0.393,0.5137
0184,0.8053,0.764
0185,0.5201,0.4076
0186,0.8173,0.5495
0187,0.4939,0.5375
0188,0.6329,0.565
0189,0.5147,0.5742
0190,0.8196,0.5261
0191,0.6079,0.6428
0192,0.7975,0.6114
0193,0.4095,0.4075
0194,0.9404,0.6906
0195,0.612,0.6284
0196,0.9247,0.7405
0197,0.6744,0.5796
0198,0.7139,0.5609
0199,0.7205,0.7417
0200,0.8898,0.7004
0201,0.3857,0.4743
0202,0.6226,0.5029
0203,0.7258,0.581
0204,0.7967,0.7244
0205,0.7807,0.7011
0206,0.7455,0.6631
0207,0.8342,0.6978
0208,0.5235,0.5694
0209,0.6067,0.4018
0210,0.7058,0.4969
0211,0.7742,0.6498
0212,0.8604,0.6306
0213,0.27,0.4667
0214,0.9673,0.8126
0215,0.8829,0.7458
0216,0.6265,0.4975
0217,0.62,0.6107
0218,0.5364,0.5666
0219,0.5182,0.7324
0220,0.4287,0.463
0221,0.7379,0.7512
0222,0.5858,0.6507
0223,0.8541,0.6099
0224,0.9011,0.7512
0225,0.6321,0.6791
0226,0.87,0.6314
0227,0.4414,0.6488
0228,0.8783,0.6796
0229,0.8217,0.7837
0230,0.9389,0.6103
0231,0.6787,0.5919
0232,0.4839,0.4449
0233,0.455,0.3608
0234,0.424,0.4948
0235,0.4081,0.5581
0236,0.4858,0.7147
0237,0.7071,0.5132
0238,0.781,0.4899
0239,0.1416,0.2987
0240,0.2683,0.454
0241,0.4171,0.5587
0242,0.6918,0.7305
0243,0.975,0.681
0244,0.689,0.735
0245,0.7365,0.7512
0246,0.8865,0.7246
0247,0.6947,0.7232
0248,0.8388,0.547
0249,0.775,0.5341
0250,0.5511,0.5191
0251,0.5874,0.6016
0252,0.525,0.5768
0253,0.4912,0.6118
0254,0.5959,0.6607
0255,0.8654,0.6965
0256,0.9031,0.6908
0257,0.8489,0.6115
0258,0.8528,0.7371
0259,0.813,0.6524
0260,0.8305,0.6413
0261,0.8133,0.6768
0262,0.8333,0.6668
0263,0.7527,0.4593
0264,0.8458,0.6809
0265,0.8372,0.6204
0266,0.4571,0.406
0267,0.6509,0.7029
0268,0.3996,0.4621
0269,0.4211,0.4568
0270,0.3441,0.3927
0271,0.3245,0.3791
0272,0.3893,0.3563
0273,0.3193,0.3858
0274,0.4037,0.4071
0275,0.5769,0.5672
0276,0.55,0.5635
0277,0.5556,0.6127
0278,0.5312,0.5771
0279,0.3798,0.6222
0280,0.6853,0.5692
0281,0.7575,0.6411
0282,0.4217,0.4285
0283,0.8821,0.6972
0284,0.6375,0.5619
0285,0.8303,0.71
0286,0.4217,0.4782
0287,0.6914,0.7217
0288,0.6474,0.7003
0289,0.5926,0.4624
0290,0.4613,0.4937
0291,0.4961,0.5853
0292,0.8514,0.6824
0293,0.0611,0.5484
0294,0.8488,0.666
0295,0.2855,0.4031
0296,0.3222,0.3963
0297,0.7605,0.792
0298,0.8211,0.7105
0299,0.3325,0.359
0300,0.633,0.5519
0301,0.672,0.7658
0302,0.3451,0.3806
0303,0.3496,0.5486
0304,0.3204,0.3237
0305,0.7379,0.6831
0306,0.5404,0.4528
0307,0.8558,0.5842
0308,0.5114,0.5771
0309,0.6631,0.7021
0310,0.3824,0.3305
0311,0.1264,0.5951
0312,0.4758,0.4253
0313,0.6123,0.5677
0314,0.5613,0.6104
0315,0.7946,0.4945
0316,0.7187,0.6292
0317,0.6937,0.4714
0318,0.8402,0.4749
0319,0.9477,0.8167
0320,0.9501,0.7155
0321,0.7749,0.482
0322,0.878,0.5339
0323,0.8528,0.5418
0324,0.194,0.5242
0325,0.6495,0.5615
0326,0.7489,0.3766
0327,0.8947,0.7106
0328,0.8949,0.7081
0329,0.612,0.6898
0330,0.4721,0.4803
0331,0.5652,0.5318
0332,0.3039,0.4441
0333,0.3639,0.5082
0334,0.5545,0.5371
0335,0.5721,0.3557
0336,0.0996,0.7063
0337,0.7894,0.6182
0338,0.2975,0.5962
0339,0.4342,0.428
0340,0.6033,0.2606
0341,0.8781,0.7228
0342,0.7999,0.749
0343,0.7701,0.5713
0344,0.5316,0.4426
0345,0.7516,0.5228
0346,0.3768,0.4259
0347,0.5675,0.578
0348,0.8701,0.6197
0349,0.605,0.5712
0350,0.1383,0.7127
0351,0.1704,0.6866
0352,0.8642,0.6588
0353,0.7715,0.7797
0354,0.8827,0.7063
0355,0.5867,0.7856
0356,0.7163,0.7358
0357,0.3844,0.3749
0358,0.3588,0.4312
0359,0.6857,0.6476
0360,0.5824,0.6332
0361,0.6738,0.7432
0362,0.6615,0.7343
0363,0.7194,0.7928
0364,0.7016,0.6344
0365,0.659,0.6067
0366,0.6754,0.6005
0367,0.4448,0.6751
0368,0.6802,0.6602
0369,0.8547,0.6674
0370,0.725,0.5362
0371,0.7334,0.5361
0372,0.7473,0.5739
0373,0.3884,0.51
0374,0.5837,0.4561
0375,0.8441,0.8061
0376,0.4136,0.4928
0377,0.3052,0.7023
0378,0.2728,0.4532
0379,0.7929,0.6228
0380,0.8175,0.6799
0381,0.3498,0.4203
0382,0.7275,0.5123
0383,0.1396,0.3362
0384,0.6737,0.4562
0385,0.6519,0.6719
0386,0.2926,0.4304
0387,0.3344,0.4684
0388,0.4045,0.453
0389,0.3131,0.4782
0390,0.3924,0.2981
0391,0.7296,0.5596
0392,0.6628,0.5623
0393,0.776,0.4647
0394,0.8535,0.7394
0395,0.6959,0.5807
0396,0.3606,0.5596
0397,0.4253,0.4795
0398,0.4423,0.52
0399,0.302,0.5042
0400,0.5762,0.5888
0401,0.8059,0.6965
0402,0.783,0.5925
0403,0.5931,0.7428
0404,0.5852,0.8154
0405,0.5017,0.5392
0406,0.8948,0.7014
0407,0.7053,0.617
0408,0.872,0.7503
0409,0.8838,0.6341
0410,0.8797,0.7106
0411,0.7023,0.6919
0412,0.7537,0.6288
0413,0.9089,0.7179
0414,0.6434,0.6833
0415,0.6348,0.6092
0416,0.3764,0.6077
0417,0.4111,0.5262
