image,how_much_text_erased,how_plausible_image_is,average
1.jpg,0.9756,0.95,0.9628
10.jpg,0.716,0.9806,0.8483
100.jpg,0.972,0.8986,0.9353
101.jpg,0.9839,0.817,0.9004
102.jpg,0.9182,0.9714,0.9448
103.jpg,0.9097,0.9752,0.9424
104.jpg,1.0,0.918,0.959
105.jpg,0.9994,0.8012,0.9003
106.jpg,0.98,0.9112,0.9456
107.jpg,0.9921,0.9052,0.9486
108.jpg,0.7811,0.9054,0.8432
109.jpg,0.9611,0.9836,0.9724
11.jpg,0.9975,0.9563,0.9769
110.jpg,0.9008,0.9044,0.9026
112.jpg,0.8508,0.9775,0.9142
113.jpg,0.8542,0.9642,0.9092
114.jpg,0.9846,0.9488,0.9667
115.jpg,0.9994,0.9502,0.9748
116.jpg,0.9606,0.8324,0.8965
117.jpg,0.1374,0.9525,0.545
118.jpg,0.2452,0.969,0.6071
119.jpg,0.9798,0.9467,0.9632
12.jpg,0.9519,0.9493,0.9506
120.jpg,0.5341,0.9802,0.7572
121.jpg,0.0257,0.8612,0.4434
122.jpg,0.9996,0.94,0.9698
123.jpg,1.0,0.9787,0.9894
124.jpg,0.8918,0.9852,0.9385
125.jpg,1.0,0.9231,0.9616
126.jpg,0.8567,0.9373,0.897
127.jpg,0.9987,0.9505,0.9746
128.jpg,0.7384,0.9618,0.8501
129.jpg,0.7148,0.8898,0.8023
13.jpg,0.9996,0.8463,0.923
130.jpg,0.859,0.9641,0.9116
131.jpg,0.9713,0.9692,0.9702
132.jpg,0.7366,0.8819,0.8092
133.jpg,0.9634,0.9174,0.9404
134.jpg,0.8665,0.9506,0.9086
135.jpg,1.0,0.9413,0.9706
136.jpg,0.7682,0.9325,0.8504
137.jpg,0.7297,0.835,0.7824
138.jpg,0.9991,0.9847,0.9919
139.jpg,0.83,0.969,0.8995
14.jpg,0.9941,0.9085,0.9513
141.jpg,0.9906,0.8281,0.9094
142.jpg,1.0,0.9697,0.9848
143.jpg,0.9966,0.8824,0.9395
144.jpg,1.0,0.962,0.981
146.jpg,0.9931,0.9522,0.9726
147.jpg,0.9985,0.8729,0.9357
148.jpg,0.9842,0.9698,0.977
149.jpg,0.866,0.9766,0.9213
15.jpg,0.9458,0.9294,0.9376
150.jpg,0.9999,0.9819,0.9909
151.jpg,0.9535,0.9424,0.948
152.jpg,0.9504,0.8584,0.9044
153.jpg,0.9745,0.9201,0.9473
154.jpg,0.752,0.8925,0.8222
155.jpg,0.6909,0.9633,0.8271
156.jpg,0.487,0.9098,0.6984
